,,Na23,,,,,,,Mg24 (2+),,,,,,,K39,,,,,,,Ca40 (2+),,,,,,,F-,,,,,,,,Cl-,,,,,,,,NO2-,,,,,,,,Br-,,,,,,,,NO3-,,,,,,,,PO4,,,,,,,,SO4 -2,,,,,,,,Ca+Mg,Alkalinity as CaCO3 -Used Ca+mg regression equation of 1.8758*(Ca+mg)+91.44 for Na's.,,,,,,
Name,Date,(ug/L),molar mass (g),mg/L,g/L,mol/L,mmol/L,(meq/L),(ug/L),molar mass (g),mg/L,g/L,mol/L,mmol/L,(meq/L),(ug/L),molar mass (g),mg/L,g/mol,mol/L,mmol/L,(meq/L),(ug/L),molar mass (g),mg/L,g/mol,mol/L,mmol/L,(meq/L),(umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),Cl- (umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),NO2- (umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),Br- (umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),NO3- (umoles/L),g/mol,ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),PO4 (umoles/L),g/mol,ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),SO4 (umoles/L),molar mass(g),ug/L,mg/L,g/L,mol/L,mmol/L,(meq/L),mg/L,original alk w/o Ca+Mg fill (mg/L),original alk w/Ca+Mg fill (mg/L) #1_FINAL,molar mass alk,g/L,mol/L,mmol/L,Alk #1-meq/L USGS
Big,7/14/2018,2216.651013,22.989769,2.217,0.002,0.0001,0.0964,0.10,23706.423,24.305,23.706,0.024,0.0010,0.9754,1.95,760.139,39.098,0.760,0.001,0.0000,0.0194,0.02,43184.599,40.078,43.185,0.043,0.0011,1.0775,2.16,3.116,18.990,59.166,0.059,0.000,0.0000,0.0031,0.00,59.870,35.450,2122.375,2.122,0.002,0.0001,0.0599,0.06,1.674,46.006,77.030,0.077,0.000,0.0000,0.0017,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,5.483,62.0049,339.992,0.340,0.000,0.0000,0.0055,0.01,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,33.954,96.060,3261.593,3.262,0.003,0.0000,0.0340,0.07,66.891,224,224,100.0869,0.224,0.002238055,2.23805513,4.47611026
Big,7/14/2018,2240.389578,22.989769,2.240,0.002,0.0001,0.0975,0.10,23272.909,24.305,23.273,0.023,0.0010,0.9575,1.92,671.960,39.098,0.672,0.001,0.0000,0.0172,0.02,43081.261,40.078,43.081,0.043,0.0011,1.0749,2.15,3.067,18.990,58.244,0.058,0.000,0.0000,0.0031,0.00,73.975,35.450,2622.399,2.622,0.003,0.0001,0.0740,0.07,1.956,46.006,90.004,0.090,0.000,0.0000,0.0020,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,11.533,62.0049,715.075,0.715,0.001,0.0000,0.0115,0.01,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,34.434,96.060,3307.699,3.308,0.003,0.0000,0.0344,0.07,66.354,224,224,100.0869,0.224,0.002238055,2.23805513,4.47611026
Big,8/4/2018,2654.422645,22.989769,2.654,0.003,0.0001,0.1155,0.12,23828.69834,24.305,23.829,0.024,0.0010,0.9804,1.96,2311.35845,39.098,2.311,0.002,0.0001,0.0591,0.06,43204.06582,40.078,43.204,0.043,0.0011,1.0780,2.16,4.514178138,18.990,85.724,0.086,0.000,0.0000,0.0045,0.00,56.29473716,35.450,1995.648,1.996,0.002,0.0001,0.0563,0.06,0,46.006,0.000,0.000,0.000,0.0000,0.0000,0.00,0,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,14.97444275,62.0049,928.489,0.928,0.001,0.0000,0.0150,0.01,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.75461297,96.060,3050.348,3.050,0.003,0.0000,0.0318,0.06,67.033,187.7,187.7,100.0869,0.1877,0.00187537,1.875370303,3.750740606
Big,8/31/2018,2696.34209,22.989769,2.696,0.003,0.0001,0.1173,0.12,23444.70005,24.305,23.445,0.023,0.0010,0.9646,1.93,2426.061854,39.098,2.426,0.002,0.0001,0.0621,0.06,42122.60359,40.078,42.123,0.042,0.0011,1.0510,2.10,4.090476168,18.990,77.678,0.078,0.000,0.0000,0.0041,0.00,54.6558049,35.450,1937.548,1.938,0.002,0.0001,0.0547,0.05,4.467109389,46.006,205.512,0.206,0.000,0.0000,0.0045,0.00,0,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,15.44056219,62.0049,957.391,0.957,0.001,0.0000,0.0154,0.02,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,32.3894635,96.060,3111.332,3.111,0.003,0.0000,0.0324,0.06,65.567,,214.4311482,100.0869,0.214431148,0.00214245,2.142449693,4.284899386
Big,9/1/2018,2777.410708,22.989769,2.777,0.003,0.0001,0.1208,0.12,23224.98551,24.305,23.225,0.023,0.0010,0.9556,1.91,2100.920843,39.098,2.101,0.002,0.0001,0.0537,0.05,43119.0928,40.078,43.119,0.043,0.0011,1.0759,2.15,4.074215936,18.990,77.369,0.077,0.000,0.0000,0.0041,0.00,54.11408968,35.450,1918.344,1.918,0.002,0.0001,0.0541,0.05,1.443309258,46.006,66.400,0.066,0.000,0.0000,0.0014,0.00,0,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,14.0420704,62.0049,870.677,0.871,0.001,0.0000,0.0140,0.01,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.79749836,96.060,3054.468,3.054,0.003,0.0000,0.0318,0.06,66.344,211.5,211.5,100.0869,0.2115,0.002113164,2.113163661,4.226327322
Big,9/2/2018,2649.659803,22.989769,2.650,0.003,0.0001,0.1153,0.12,22188.34003,24.305,22.188,0.022,0.0009,0.9129,1.83,2035.165564,39.098,2.035,0.002,0.0001,0.0521,0.05,41952.20696,40.078,41.952,0.042,0.0010,1.0468,2.09,4.136718679,18.990,78.556,0.079,0.000,0.0000,0.0041,0.00,58.27202997,35.450,2065.743,2.066,0.002,0.0001,0.0583,0.06,0,46.006,0.000,0.000,0.000,0.0000,0.0000,0.00,1.691810964,79.904,135.182,0.135,0.000,0.0000,0.0017,0.00,14.80505735,62.0049,917.986,0.918,0.001,0.0000,0.0148,0.01,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.84393494,96.060,3058.928,3.059,0.003,0.0000,0.0318,0.06,64.141,180,180,100.0869,0.18,0.001798437,1.798437158,3.596874316
Big,10/7/2018,2707.075456,22.989769,2.707,0.003,0.0001,0.1178,0.12,23415.11004,24.305,23.415,0.023,0.0010,0.9634,1.93,2256.069991,39.098,2.256,0.002,0.0001,0.0577,0.06,40472.88914,40.078,40.473,0.040,0.0010,1.0099,2.02,4.151237876,18.990,78.832,0.079,0.000,0.0000,0.0042,0.00,55.62478958,35.450,1971.899,1.972,0.002,0.0001,0.0556,0.06,0,46.006,0.000,0.000,0.000,0.0000,0.0000,0.00,1.56848149,79.904,125.328,0.125,0.000,0.0000,0.0016,0.00,14.56921693,62.0049,903.363,0.903,0.001,0.0000,0.0146,0.01,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.51905731,96.060,3027.721,3.028,0.003,0.0000,0.0315,0.06,63.888,208,208,100.0869,0.208,0.002078194,2.078194049,4.156388099
Big,10/13/2018,2612.814514,22.989769,2.613,0.003,0.0001,0.1137,0.11,23367.65602,24.305,23.368,0.023,0.0010,0.9614,1.92,2328.597683,39.098,2.329,0.002,0.0001,0.0596,0.06,42474.87576,40.078,42.475,0.042,0.0011,1.0598,2.12,4.450545111,18.990,84.516,0.085,0.000,0.0000,0.0045,0.00,55.61172277,35.450,1971.436,1.971,0.002,0.0001,0.0556,0.06,1.650623113,46.006,75.938,0.076,0.000,0.0000,0.0017,0.00,0,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,13.12863275,62.0049,814.040,0.814,0.001,0.0000,0.0131,0.01,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,32.62019503,96.060,3133.496,3.133,0.003,0.0000,0.0326,0.07,65.843,180,180,100.0869,0.18,0.001798437,1.798437158,3.596874316
Big,10/14/2018,2651.029043,22.989769,2.651,0.003,0.0001,0.1153,0.12,23309.31783,24.305,23.309,0.023,0.0010,0.9590,1.92,2424.343087,39.098,2.424,0.002,0.0001,0.0620,0.06,44043.24126,40.078,44.043,0.044,0.0011,1.0989,2.20,4.116897061,18.990,78.180,0.078,0.000,0.0000,0.0041,0.00,53.72655955,35.450,1904.607,1.905,0.002,0.0001,0.0537,0.05,1.769247388,46.006,81.395,0.081,0.000,0.0000,0.0018,0.00,1.64244881,79.904,131.238,0.131,0.000,0.0000,0.0016,0.00,13.13943299,62.0049,814.709,0.815,0.001,0.0000,0.0131,0.01,0,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.73112363,96.060,3048.092,3.048,0.003,0.0000,0.0317,0.06,67.353,200,200,100.0869,0.2,0.001998264,1.998263509,3.996527018
Big,11/9/2018,2323.293924,22.989769,2.323,0.002,0.0001,0.1011,0.10,21993.30478,24.305,21.993,0.022,0.0009,0.9049,1.81,607.2469531,39.098,0.607,0.001,0.0000,0.0155,0.02,42125.9841,40.078,42.126,0.042,0.0011,1.0511,2.10,5.80659202,18.990,110.267,0.110,0.000,0.0000,0.0058,0.01,58.79856006,35.450,2084.409,2.084,0.002,0.0001,0.0588,0.06,BDL,46.006,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3.133189145,79.904,250.354,0.250,0.000,0.0000,0.0031,0.00,13.76550915,62.0049,853.529,0.854,0.001,0.0000,0.0138,0.01,BDL,94.970,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,33.51372507,96.060,3219.328,3.219,0.003,0.0000,0.0335,0.07,64.119,236,236,100.0869,0.236,0.002357951,2.357950941,4.715901881
