Name,Easting,Northing,Date,Na23 (ug/L),Mg24 (2+) (ug/L),K39 (ug/L),Ca40 (2+) (ug/L),F- (umoles/L),Cl- (umoles/L),NO2- (umoles/L),Br- (umoles/L),NO3- (umoles/L),PO4 (umoles/L),SO4 (umoles/L),Ca+Mg mg/L,original alk w/Ca+Mg fill (mg/L)
End North Canyon Wash,402734,4028587,9/1/2018,1855.784107,23887.25387,1781.645974,42625.28688,4.18718092,36.74184287,1.412246887,0,4.650364293,0,22.23687817,66.513,216.204224
End North Canyon Wash,402734,4028587,10/14/2018,1613.715427,24292.23401,2188.032298,42070.23999,4.167414824,33.70478662,0,0,0,2.233447511,22.03473461,66.362,215.9227287
Locust,384679,4029087,11/10/2018,1810.084076,34334.56021,488.1571183,101996.0159,9.15614395,44.44324937,BDL,BDL,4.027566098,7.235827908,30.38972281,136.331,380
Lower Thompson,404882,4011303,6/27/2018,1132.901976,17044.561,446.016,41555.309,2.551,27.951,0,0,0,0,20.804,58.6,144
Lower Thompson,404882,4011303,7/12/2018,991.5696531,16709.6,310.178,41778.493,3.563,39.574,0,0,0,0,25.583,58.488,195
Lower Thompson,404882,4011303,8/6/2018,1289.365863,21194.63638,1873.675536,44129.37494,3.804982198,25.00110876,0,0,1.945885315,2.348036501,24.22174164,65.324,213.9747804
Lower Thompson,404882,4011303,9/2/2018,1842.135372,21868.61102,3010.47506,42954.80697,4.128770996,37.3811398,0,0,27.39989235,2.236134056,24.68543835,64.823,236
Lower Thompson,404882,4011303,10/12/2018,1854.687511,21137.58805,2428.654707,45126.20465,3.671327062,34.09856911,0,0,0,0,23.07662401,66.264,172
Lower Thompson,404882,4011303,11/11/2018,1136.114569,18882.0731,476.6394518,44340.15597,5.335901193,28.57058851,BDL,BDL,BDL,BDL,23.74707867,63.222,180
Lower Thompson,404882,4011303,12/15/2018,1110.850271,19289.39347,664.7252478,44116.3097,5.551518606,28.12769647,BDL,BDL,BDL,BDL,25.395484,63.406,200
Lower Two,382743,4025437,6/26/2018,1299.540653,22630.353,382.971,65538.3,4.559,38.308,0,0,0,1.437,25.921,88.169,270
Lower Two,382743,4025437,8/5/2018,1704.025298,25665.2962,1874.13142,68063.9193,5.03514802,31.33426596,0,0,15.38121835,3.843749635,24.31790008,93.729,305
Lower Two,382743,4025437,11/10/2018,1511.250563,22743.33127,425.930127,65941.178,7.228765121,34.70374861,BDL,BDL,13.26555905,5.875531914,31.99354386,88.685,144
Mangum,380011,4053934,12/18/2017,4500.285182,29891.61,1945.14,48419.998,4.741,154.665,0,0.413,17.81,0.58,137.905,78.312,222
Mangum,380011,4053934,4/7/2018,3587.035948,28063.684,883.586,49920.582,5.171,151.406,2.102,0,7.861,1.998,140.973,77.984,296
Mangum,380011,4053934,4/7/2018,3732.087026,27563.885,861.174,49075.699,4.585,154.394,4.987,0,1.54,0,143.37,76.64,296
Mangum,380011,4053934,5/25/2018,3341.412362,26417.084,708.42,48302.623,3.938,132.972,0,0,0,0,108.596,74.72,220
Mangum,380011,4053934,6/25/2018,3840.839761,31521.318,613.134,64295.406,5.474,150.035,0.98,0,1.953,0,169.599,95.817,271.1730096
Mangum,380011,4053934,7/14/2018,3650.545455,31572.172,602.741,57189.593,4.619,156.243,2.034,0,2.02,0,167.756,88.762,281
Mangum,380011,4053934,7/15/2018,3283.30396,27197.136,480.556,43874.061,5.562,149.332,2.334,0,7.766,0,143.477,71.071,281
Mangum,380011,4053934,8/4/2018,4665.48894,35906.75716,2428.475048,61281.68266,5.939982305,128.3581132,0,1.769697996,18.58355382,2.105227306,134.4330878,97.188,268
Mangum,380011,4053934,9/1/2018,4668.632399,35361.13595,2167.232749,57400.29979,5.721234603,143.5212504,2.961229731,1.810741112,8.329296884,0,160.0294772,92.761,236
Mangum,380011,4053934,10/14/2018,4566.995705,33496.37452,2394.781053,56582.55839,5.894084828,152.6367688,1.610222551,1.740186288,10.52807409,0,159.9930904,90.079,264
Mangum,380011,4053934,11/9/2018,4255.174877,30834.66152,637.405001,54396.74992,BDL,157.6036306,BDL,3.046113582,12.42671917,BDL,160.802319,85.231,240
Mangum,380011,4053934,12/15/2018,4264.665555,30298.56941,596.4506323,51296.17766,8.341090423,158.1333139,BDL,3.680375506,14.61417571,BDL,165.4913078,81.595,222
Mangum,380011,4053934,12/17/2018,4339.819424,30597.42039,620.0499779,52609.3507,8.188658916,158.362887,3.789691891,4.46524313,14.77504762,BDL,165.2268497,83.207,222
Moquitch,381107,4055194,6/15/2018,3659.951244,28438.268,525.429,59127.479,5.064,139.223,0,0,1.917,0,242.805,87.566,310
Moquitch,381107,4055194,11/11/2018,4167.863647,30368.55,427.762,63267.611,8.918,137.274,BDL,3.208,4.245,BDL,272.339,93.636,166
Mourning Dove,379463,4053167,11/11/2018,3632.182939,27358.61,755.36,54437.069,7.822,110.135,BDL,3.683,12.878,BDL,202.142,81.796,219.5
Mourning Dove,379463,4053167,12/16/2018,3564.066062,27840.211,813.338,54866.68,8.311,115.311,4.119,3.741,11.368,BDL,211.112,82.707,248
Nail,379667,4054101,4/7/2018,3068.557926,26095.086,685.212,47011.302,3.855,131.275,0,0,15.165,0,109.483,73.106,290
Nail,379667,4054101,4/7/2018,3137.34347,25778.386,638.424,47384.085,3.201,109.089,4.239,0,7.725,0,90.595,73.162,290
Nail,379667,4054101,6/26/2018,3163.719486,26423.35,621.731,50254.984,5.1,140.931,1.57,0,8.709,0,114.208,76.678,288
Nail,379667,4054101,8/4/2018,4062.926148,30208.58405,2204.041592,50812.8302,5.486524111,138.4145573,1.866566638,1.737563945,7.573702885,0,157.0939798,81.021,243.4199688
Nail,379667,4054101,9/1/2018,4055.978458,30217.15964,2480.901739,49986.55091,5.364278899,127.1467704,1.339102994,2.00057458,18.73854632,0,104.3335563,80.204,232
Nail,379667,4054101,10/14/2018,4066.785346,28974.39747,2549.104479,49559.28836,5.43945669,119.9336787,2.095185097,2.306885091,14.06964752,0,103.1980904,78.534,232
Nail,379667,4054101,11/9/2018,3442.214952,27571.40964,689.5202747,47545.40457,7.260285268,134.1697059,3.60471594,4.060731424,15.80751137,BDL,109.4597802,75.117,216
Nail,379667,4054101,12/15/2018,3523.2071,27056.99105,706.5097412,47885.33705,7.404436306,138.6006292,4.525901692,4.007247163,15.08260219,BDL,112.7044722,74.942,246
Nail Source,379667,4054101,12/17/2018,3569.039608,27350.97022,800.8099897,46470.1225,7.382545967,138.8683016,BDL,3.440379225,20.13662824,BDL,113.0359227,73.821,229.9136057
North Canyon,402734,4028587,11/11/2017,1346.630242,21813.556,246.099,36720.816,3.102,28.471,0.158,0,3.821,0.531,20.665,58.534,201.2387754
North Canyon,402734,4028587,12/19/2017,1157.637131,24037.492,573.314,42550.716,2.761,27.693,0,0,9.971,0.395,21.123,66.588,216.3461598
North Canyon,402734,4028587,6/28/2018,927.6124056,19465.956,172.81,37252.243,3.474,29.6,0,0,0,0,23.331,56.718,210
North Canyon,402734,4028587,8/6/2018,2278.322895,24355.30315,2323.310894,39695.19931,3.951288587,26.13162955,0,0,4.156385948,0,21.70941094,64.051,208
North Canyon,402734,4028587,9/1/2018,1702.770918,24635.03986,2060.332868,45980.66002,4.392115358,36.06283926,0,0,9.334063832,2.124166986,19.66335714,70.616,200
North Canyon,402734,4028587,9/1/2018,1893.910683,22139.27256,2410.141073,39023.37358,3.736732851,30.06324625,1.772066452,0,7.939724548,0,22.60839481,61.163,200
North Canyon,402734,4028587,9/2/2018,1672.429164,23977.07677,1876.365305,40364.09944,3.778644589,27.16926724,0,0,7.940747845,1.797248624,21.75229632,64.341,212.1311783
North Canyon,402734,4028587,10/6/2018,1404.461296,24220.01792,1485.168053,39431.00053,4.095901533,29.2351975,0,0,0,0,22.11336868,63.651,210.8365804
North Canyon,402734,4028587,10/14/2018,1404.461296,24220.01792,1485.168053,39431.00053,3.848555652,27.86113887,0,0,5.324895331,0,22.08303771,63.651,198
North Canyon,402734,4028587,11/12/2018,1105.231849,22183.0508,343.5207224,39409.808,5.635905621,31.16235445,3.961576893,BDL,7.005185702,BDL,24.86742586,61.593,192
North Canyon,402734,4028587,12/16/2018,1109.203582,22527.89714,347.8350739,38989.85312,5.482828567,29.59304758,BDL,BDL,8.666850015,BDL,24.25688116,61.518,184
North Canyon Trail X-ing,402734,4028587,9/1/2018,1917.496136,24113.88516,2332.663962,47046.23512,4.196818081,34.52774204,1.438866394,0,4.981660577,2.137248891,21.80255001,71.16,224.9221536
North Canyon Trail X-ing,402734,4028587,10/4/2018,1676.669511,24282.36313,2080.921507,39814.58807,3.762499369,28.10505321,0,0,6.45865709,1.979416683,22.23789378,64.097,211.6730611
